Threads,Time (ms),Speedup (x)
1,256.44,1.0
2,150.202,1.7
3,115.005,2.24
4,97.426,2.63
5,84.703,3.01
6,74.393,3.47
7,66.406,3.84
8,60.507,4.22
9,54.671,4.67
10,50.641,5.04
11,47.08,5.42
12,44.449,5.74
13,42.596,5.98
14,40.115,6.37
15,37.67,6.78
16,35.482,7.19
17,37.952,6.72
18,33.254,7.67
19,34.899,7.31
20,35.756,7.14
21,36.068,7.07
22,34.305,7.44
23,31.152,8.19
24,29.061,8.78
25,24.889,10.25
26,30.52,8.37
27,31.33,8.15
28,29.143,8.76
29,29.833,8.54
30,29.784,8.57
31,28.382,8.99
32,27.076,9.42
